stazione_id;data;inquinante;valore
"6";2023-09-22;PM25;12
"7";2023-09-22;NO2;40
"7";2023-09-22;O3;74
"7";2023-09-22;PM10;18
"2";2023-09-21;C6H6;0.5
"2";2023-09-21;NO2;51
"2";2023-09-21;O3;87
"2";2023-09-21;PM10;23
"2";2023-09-21;PM25;12
"2";2023-09-21;SO2;2.5
"3";2023-09-21;CO_8h;0.8
"3";2023-09-21;NO2;67
"4";2023-09-21;C6H6;1.4
"4";2023-09-21;CO_8h;1.4
"4";2023-09-21;NO2;61
"4";2023-09-21;PM10;34
"4";2023-09-21;PM25;17
"6";2023-09-21;C6H6;0.5
"6";2023-09-21;CO_8h;
"6";2023-09-21;NO2;48
"6";2023-09-21;PM10;27
"6";2023-09-21;PM25;11
"7";2023-09-21;NO2;54
"7";2023-09-21;O3;89
"7";2023-09-21;PM10;25
"2";2023-09-20;C6H6;1.1
"2";2023-09-20;NO2;57
"2";2023-09-20;O3;81
"2";2023-09-20;PM10;19
"2";2023-09-20;PM25;10
"2";2023-09-20;SO2;2.5
"3";2023-09-20;CO_8h;0.7
"3";2023-09-20;NO2;97
"4";2023-09-20;C6H6;1.4
"4";2023-09-20;CO_8h;1.3
"4";2023-09-20;NO2;87
"4";2023-09-20;PM10;21
"4";2023-09-20;PM25;7
"6";2023-09-20;C6H6;0.5
"6";2023-09-20;CO_8h;0.25
"6";2023-09-20;NO2;46
"6";2023-09-20;PM10;29
"6";2023-09-20;PM25;12
"7";2023-09-20;NO2;58
"7";2023-09-20;O3;89
"7";2023-09-20;PM10;16
"2";2023-09-19;C6H6;0.5
"2";2023-09-19;NO2;37
"2";2023-09-19;O3;76
"2";2023-09-19;PM10;28
"2";2023-09-19;PM25;16
"2";2023-09-19;SO2;2.5
"3";2023-09-19;CO_8h;0.6
"3";2023-09-19;NO2;55
"4";2023-09-19;C6H6;1.5
"4";2023-09-19;CO_8h;0.9
"4";2023-09-19;NO2;59
"4";2023-09-19;PM10;45
"4";2023-09-19;PM25;
"6";2023-09-19;C6H6;0.5
"6";2023-09-19;CO_8h;
"6";2023-09-19;NO2;42
"6";2023-09-19;PM10;
"6";2023-09-19;PM25;
"7";2023-09-19;NO2;37
"7";2023-09-19;O3;73
"7";2023-09-19;PM10;29
"2";2023-09-18;C6H6;0.5
"2";2023-09-18;NO2;34
"2";2023-09-18;O3;86
"2";2023-09-18;PM10;17
"2";2023-09-18;PM25;12
"2";2023-09-18;SO2;2.5
"3";2023-09-18;CO_8h;0.5
"3";2023-09-18;NO2;40
"4";2023-09-18;C6H6;0.5
"4";2023-09-18;CO_8h;0.7
"4";2023-09-18;NO2;28
"4";2023-09-18;PM10;21
"4";2023-09-18;PM25;14
"6";2023-09-18;C6H6;0.5
"6";2023-09-18;CO_8h;1.3
"6";2023-09-18;NO2;22
"6";2023-09-18;PM10;17
"6";2023-09-18;PM25;
"7";2023-09-18;NO2;24
"7";2023-09-18;O3;87
"7";2023-09-18;PM10;16
"2";2023-09-15;C6H6;1
"2";2023-09-15;NO2;58
"2";2023-09-15;O3;103
"2";2023-09-15;PM10;22
"2";2023-09-15;PM25;13
"2";2023-09-15;SO2;2.5
"3";2023-09-15;CO_8h;0.6
"3";2023-09-15;NO2;42
"4";2023-09-15;C6H6;1.3
"4";2023-09-15;CO_8h;0.8
"4";2023-09-15;NO2;51
"4";2023-09-15;PM10;25
"4";2023-09-15;PM25;15
"6";2023-09-15;C6H6;0.5
"6";2023-09-15;CO_8h;1.2
"6";2023-09-15;NO2;39
"6";2023-09-15;PM10;
"6";2023-09-15;PM25;
"7";2023-09-15;NO2;45
"7";2023-09-15;O3;109
"7";2023-09-15;PM10;20
"2";2023-09-14;C6H6;0.5
"2";2023-09-14;NO2;56
"2";2023-09-14;O3;98
"2";2023-09-14;PM10;22
"2";2023-09-14;PM25;14
"2";2023-09-14;SO2;2.5
"3";2023-09-14;CO_8h;0.7
"3";2023-09-14;NO2;87
"4";2023-09-14;C6H6;1.1
"4";2023-09-14;CO_8h;0.7
"4";2023-09-14;NO2;69
"4";2023-09-14;PM10;27
"4";2023-09-14;PM25;19
"6";2023-09-14;C6H6;0.5
"6";2023-09-14;CO_8h;1.1
"6";2023-09-14;NO2;52
"6";2023-09-14;PM10;
"6";2023-09-14;PM25;
"7";2023-09-14;NO2;58
"7";2023-09-14;O3;104
"7";2023-09-14;PM10;22
"2";2023-09-13;C6H6;1.1
"2";2023-09-13;NO2;57
"2";2023-09-13;O3;134
"2";2023-09-13;PM10;32
"2";2023-09-13;PM25;20
"2";2023-09-13;SO2;16
"3";2023-09-13;CO_8h;0.7
"3";2023-09-13;NO2;83
"4";2023-09-13;C6H6;1.2
"4";2023-09-13;CO_8h;0.9
"4";2023-09-13;NO2;74
"4";2023-09-13;PM10;38
"4";2023-09-13;PM25;21
"6";2023-09-13;C6H6;0.5
"6";2023-09-13;CO_8h;0.9
"6";2023-09-13;NO2;54
"6";2023-09-13;PM10;
"6";2023-09-13;PM25;
"7";2023-09-13;NO2;68
"7";2023-09-13;O3;142
"7";2023-09-13;PM10;26
"2";2023-09-12;C6H6;1.2
"2";2023-09-12;NO2;60
"2";2023-09-12;O3;161
"2";2023-09-12;PM10;39
"2";2023-09-12;PM25;24
"2";2023-09-12;SO2;2.5
"3";2023-09-12;CO_8h;1
"3";2023-09-12;NO2;127
"4";2023-09-12;C6H6;1.5
"4";2023-09-12;CO_8h;1
"4";2023-09-12;NO2;92
"4";2023-09-12;PM10;49
"4";2023-09-12;PM25;28
"6";2023-09-12;C6H6;0.5
"6";2023-09-12;CO_8h;1
"6";2023-09-12;NO2;52
"6";2023-09-12;PM10;
"6";2023-09-12;PM25;
"7";2023-09-12;NO2;61
"7";2023-09-12;O3;176
"7";2023-09-12;PM10;33
"2";2023-09-11;C6H6;1
"2";2023-09-11;NO2;71
"2";2023-09-11;O3;170
"2";2023-09-11;PM10;39
"2";2023-09-11;PM25;23
"2";2023-09-11;SO2;6
"3";2023-09-11;CO_8h;1
"3";2023-09-11;NO2;112
"4";2023-09-11;C6H6;1.3
"4";2023-09-11;CO_8h;0.9
"4";2023-09-11;NO2;98
"4";2023-09-11;PM10;45
"4";2023-09-11;PM25;26
"6";2023-09-11;C6H6;0.5
"6";2023-09-11;CO_8h;0.9
"6";2023-09-11;NO2;51
"6";2023-09-11;PM10;43
"6";2023-09-11;PM25;26
"7";2023-09-11;NO2;61
"7";2023-09-11;O3;188
"7";2023-09-11;PM10;33
"2";2023-09-08;C6H6;0.5
"2";2023-09-08;NO2;69
"2";2023-09-08;O3;137
"2";2023-09-08;PM10;26
"2";2023-09-08;PM25;15
"2";2023-09-08;SO2;10
"3";2023-09-08;CO_8h;0.9
"3";2023-09-08;NO2;102
"4";2023-09-08;C6H6;1.6
"4";2023-09-08;CO_8h;1.2
"4";2023-09-08;NO2;75
"4";2023-09-08;PM10;25
"4";2023-09-08;PM25;14
"6";2023-09-08;C6H6;0.5
"6";2023-09-08;CO_8h;
"6";2023-09-08;NO2;66
"6";2023-09-08;PM10;31
"6";2023-09-08;PM25;17
"7";2023-09-08;NO2;60
"7";2023-09-08;O3;150
"7";2023-09-08;PM10;22
"2";2023-09-07;C6H6;1
"2";2023-09-07;NO2;69
"2";2023-09-07;O3;143
"2";2023-09-07;PM10;24
"2";2023-09-07;PM25;13
"2";2023-09-07;SO2;2.5
"3";2023-09-07;CO_8h;0.7
"3";2023-09-07;NO2;99
"4";2023-09-07;C6H6;1.2
"4";2023-09-07;CO_8h;1
"4";2023-09-07;NO2;70
"4";2023-09-07;PM10;21
"4";2023-09-07;PM25;11
"6";2023-09-07;C6H6;0.5
"6";2023-09-07;CO_8h;
"6";2023-09-07;NO2;46
"6";2023-09-07;PM10;28
"6";2023-09-07;PM25;16
"7";2023-09-07;NO2;49
"7";2023-09-07;O3;164
"7";2023-09-07;PM10;21
"2";2023-09-06;C6H6;0.5
"2";2023-09-06;NO2;45
"2";2023-09-06;O3;115
"2";2023-09-06;PM10;19
"2";2023-09-06;PM25;9
"2";2023-09-06;SO2;2.5
"3";2023-09-06;CO_8h;0.7
"3";2023-09-06;NO2;76
"4";2023-09-06;C6H6;1.7
"4";2023-09-06;CO_8h;0.9
"4";2023-09-06;NO2;60
"4";2023-09-06;PM10;17
"4";2023-09-06;PM25;7
"6";2023-09-06;C6H6;0.5
"6";2023-09-06;CO_8h;
"6";2023-09-06;NO2;33
"6";2023-09-06;PM10;21
"6";2023-09-06;PM25;12
"7";2023-09-06;NO2;42
"7";2023-09-06;O3;122
"7";2023-09-06;PM10;18
"2";2023-09-05;C6H6;0.5
"2";2023-09-05;NO2;55
"2";2023-09-05;O3;104
"2";2023-09-05;PM10;23
"2";2023-09-05;PM25;13
"2";2023-09-05;SO2;2.5
"3";2023-09-05;CO_8h;0.7
"3";2023-09-05;NO2;70
"4";2023-09-05;C6H6;1.3
"4";2023-09-05;CO_8h;1
"4";2023-09-05;NO2;30
"4";2023-09-05;PM10;25
"4";2023-09-05;PM25;14
"6";2023-09-05;C6H6;0.5
"6";2023-09-05;CO_8h;0.25
"6";2023-09-05;NO2;56
"6";2023-09-05;PM10;29
"6";2023-09-05;PM25;19
"7";2023-09-05;NO2;55
"7";2023-09-05;O3;128
"7";2023-09-05;PM10;22
"2";2023-09-04;C6H6;1.1
"2";2023-09-04;NO2;64
"2";2023-09-04;O3;107
"2";2023-09-04;PM10;21
"2";2023-09-04;PM25;13
"2";2023-09-04;SO2;2.5
"3";2023-09-04;CO_8h;0.9
"3";2023-09-04;NO2;93
"4";2023-09-04;C6H6;1.1
"4";2023-09-04;CO_8h;1
"4";2023-09-04;NO2;
"4";2023-09-04;PM10;20
"4";2023-09-04;PM25;13
"6";2023-09-04;C6H6;0.5
"6";2023-09-04;CO_8h;0.3
"6";2023-09-04;NO2;56
"6";2023-09-04;PM10;22
"6";2023-09-04;PM25;15
"7";2023-09-04;NO2;60
"7";2023-09-04;O3;117
"7";2023-09-04;PM10;19
"2";2023-09-01;C6H6;0.5
"2";2023-09-01;NO2;46
"2";2023-09-01;O3;90
"2";2023-09-01;PM10;14
"2";2023-09-01;PM25;8
"2";2023-09-01;SO2;2.5
"3";2023-09-01;CO_8h;0.3
"3";2023-09-01;NO2;39
"4";2023-09-01;C6H6;0.5
"4";2023-09-01;CO_8h;0.7
"4";2023-09-01;NO2;14
"4";2023-09-01;PM10;12
"4";2023-09-01;PM25;6
"6";2023-09-01;C6H6;0.5
"6";2023-09-01;CO_8h;0.3
"6";2023-09-01;NO2;44
"6";2023-09-01;PM10;20
"6";2023-09-01;PM25;10
"7";2023-09-01;NO2;39
"7";2023-09-01;O3;106
"7";2023-09-01;PM10;13
"2";2023-08-31;C6H6;0.5
"2";2023-08-31;NO2;42
"2";2023-08-31;O3;87
"2";2023-08-31;PM10;11
"2";2023-08-31;PM25;6
"2";2023-08-31;SO2;2.5
"3";2023-08-31;CO_8h;0.6
"3";2023-08-31;NO2;61
"4";2023-08-31;C6H6;1
"4";2023-08-31;CO_8h;0.7
"4";2023-08-31;NO2;20
"4";2023-08-31;PM10;12
"4";2023-08-31;PM25;6
"6";2023-08-31;C6H6;0.5
"6";2023-08-31;CO_8h;0.25
"6";2023-08-31;NO2;39
"6";2023-08-31;PM10;16
"6";2023-08-31;PM25;11
"7";2023-08-31;NO2;43
"7";2023-08-31;O3;109
"7";2023-08-31;PM10;12
"2";2023-08-29;C6H6;0.5
"2";2023-08-29;NO2;28
"2";2023-08-29;O3;76
"2";2023-08-29;PM10;8
"2";2023-08-29;PM25;5
"2";2023-08-29;SO2;2.5
"3";2023-08-29;CO_8h;0.25
"3";2023-08-29;NO2;41
"4";2023-08-29;C6H6;0.5
"4";2023-08-29;CO_8h;0.6
"4";2023-08-29;NO2;
"4";2023-08-29;PM10;8
"4";2023-08-29;PM25;5
"6";2023-08-29;C6H6;0.5
"6";2023-08-29;CO_8h;0.25
"6";2023-08-29;NO2;24
"6";2023-08-29;PM10;14
"6";2023-08-29;PM25;9
"7";2023-08-29;NO2;34
"7";2023-08-29;O3;82
"7";2023-08-29;PM10;7
"2";2023-08-28;C6H6;0.5
"2";2023-08-28;NO2;30
"2";2023-08-28;O3;65
"2";2023-08-28;PM10;
"2";2023-08-28;PM25;
"2";2023-08-28;SO2;2.5
"3";2023-08-28;CO_8h;0.5
"3";2023-08-28;NO2;32
"4";2023-08-28;C6H6;0.5
"4";2023-08-28;CO_8h;0.7
"4";2023-08-28;NO2;22
"4";2023-08-28;PM10;16
"4";2023-08-28;PM25;11
"6";2023-08-28;C6H6;
"6";2023-08-28;CO_8h;
"6";2023-08-28;NO2;
"6";2023-08-28;PM10;
"6";2023-08-28;PM25;
"7";2023-08-28;NO2;25
"7";2023-08-28;O3;74
"7";2023-08-28;PM10;15
"2";2023-08-25;C6H6;0.5
"2";2023-08-25;NO2;50
"2";2023-08-25;O3;147
"2";2023-08-25;PM10;29
"2";2023-08-25;PM25;16
"2";2023-08-25;SO2;2.5
"3";2023-08-25;CO_8h;0.6
"3";2023-08-25;NO2;94
"4";2023-08-25;C6H6;0.5
"4";2023-08-25;CO_8h;0.7
"4";2023-08-25;NO2;49
"4";2023-08-25;PM10;32
"4";2023-08-25;PM25;17
"6";2023-08-25;C6H6;0.5
"6";2023-08-25;CO_8h;0.25
"6";2023-08-25;NO2;38
"6";2023-08-25;PM10;36
"6";2023-08-25;PM25;23
"7";2023-08-25;NO2;45
"7";2023-08-25;O3;190
"7";2023-08-25;PM10;28
"2";2023-08-24;C6H6;0.5
"2";2023-08-24;NO2;41
"2";2023-08-24;O3;
"2";2023-08-24;PM10;29
"2";2023-08-24;PM25;16
"2";2023-08-24;SO2;2.5
"3";2023-08-24;CO_8h;0.5
"3";2023-08-24;NO2;81
"4";2023-08-24;C6H6;0.5
"4";2023-08-24;CO_8h;0.7
"4";2023-08-24;NO2;45
"4";2023-08-24;PM10;30
"4";2023-08-24;PM25;16
"6";2023-08-24;C6H6;0.5
"6";2023-08-24;CO_8h;0.25
"6";2023-08-24;NO2;45
"6";2023-08-24;PM10;38
"6";2023-08-24;PM25;21
"7";2023-08-24;NO2;60
"7";2023-08-24;O3;163
"7";2023-08-24;PM10;27
"2";2023-08-23;C6H6;0.5
"2";2023-08-23;NO2;40
"2";2023-08-23;O3;
"2";2023-08-23;PM10;29
"2";2023-08-23;PM25;16
"2";2023-08-23;SO2;2.5
"3";2023-08-23;CO_8h;0.6
"3";2023-08-23;NO2;88
"4";2023-08-23;C6H6;0.5
"4";2023-08-23;CO_8h;
"4";2023-08-23;NO2;43
"4";2023-08-23;PM10;30
"4";2023-08-23;PM25;16
"6";2023-08-23;C6H6;0.5
"6";2023-08-23;CO_8h;0.25
"6";2023-08-23;NO2;35
"6";2023-08-23;PM10;31
"6";2023-08-23;PM25;20
"7";2023-08-23;NO2;41
