_id,ZONA,CODICE_AREA,AREA_MQ,PERIM_M,PARCO,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
102,3,215,7.6938476563,12.5302772579,PARCO DELL'ACQUA,9.251827495258905,45.481981373094975,"(45.481981373094975, 9.251827495258905)"
103,3,215,6.5698242188,12.6997158639,PARCO DELL'ACQUA,9.252181085790939,45.48206211265638,"(45.48206211265638, 9.252181085790939)"
104,3,215,7.7983398438,12.8375753191,PARCO DELL'ACQUA,9.25236812466436,45.482174759291,"(45.482174759291, 9.25236812466436)"
105,3,215,6.8803710938,12.8388472996,PARCO DELL'ACQUA,9.251650098759367,45.48218009980054,"(45.48218009980054, 9.251650098759367)"
106,3,215,7.6552734375,13.079297865,PARCO DELL'ACQUA,9.251248967692769,45.48198184827707,"(45.48198184827707, 9.251248967692769)"
107,3,215,6.3520507813,12.3836294107,PARCO DELL'ACQUA,9.251300017365448,45.48178324513917,"(45.48178324513917, 9.251300017365448)"
108,3,215,10.7290039063,13.6879591169,PARCO DELL'ACQUA,9.251412860922338,45.48155449952204,"(45.48155449952204, 9.251412860922338)"
109,3,215,3.2153320313,8.8829661946,PARCO DELL'ACQUA,9.251918574896248,45.48168404876384,"(45.48168404876384, 9.251918574896248)"
110,1,232,7106.8442382813,543.8445090663,GIARDINO ROTONDA DELLA BESANA,9.205202516098977,45.45977011059468,"(45.45977011059468, 9.205202516098977)"
111,4,250,15346.3642578125,860.4122562106,GIARDINO PIAZZALE BOLOGNA,9.223178026017397,45.44517407474673,"(45.44517407474673, 9.223178026017397)"
112,1,92,69.6416015625,33.3526119951,GIARDINO ROBERTO BAZLEN,9.197465546264088,45.454874772738584,"(45.454874772738584, 9.197465546264088)"
113,3,215,69.4633789063,92.5594821466,PARCO DELL'ACQUA,9.254222598500736,45.47804853036218,"(45.47804853036218, 9.254222598500736)"
114,3,215,9.4565429688,14.6110003936,PARCO DELL'ACQUA,9.253555385348692,45.47859625191802,"(45.47859625191802, 9.253555385348692)"
115,3,215,16.9672851563,17.869086672,PARCO DELL'ACQUA,9.253469921989154,45.47856993187475,"(45.47856993187475, 9.253469921989154)"
116,3,215,8.2583007813,16.2442144892,PARCO DELL'ACQUA,9.253515132010524,45.47845682815455,"(45.47845682815455, 9.253515132010524)"
117,3,215,8.2924804688,16.2008077177,PARCO DELL'ACQUA,9.253594884999037,45.47849003538867,"(45.47849003538867, 9.253594884999037)"
118,3,215,8.2495117188,16.137769396,PARCO DELL'ACQUA,9.253693244349726,45.47827790462243,"(45.47827790462243, 9.253693244349726)"
119,3,215,8.2465820313,16.2686711386,PARCO DELL'ACQUA,9.253858180070745,45.47842078799999,"(45.47842078799999, 9.253858180070745)"
120,3,215,15.3793945313,17.1622984215,PARCO DELL'ACQUA,9.253750492739853,45.47863661842979,"(45.47863661842979, 9.253750492739853)"
121,3,215,8.4223632813,16.4072676162,PARCO DELL'ACQUA,9.253932929040529,45.478555539523285,"(45.478555539523285, 9.253932929040529)"
122,3,215,8.9501953125,17.4632455678,PARCO DELL'ACQUA,9.254530517863609,45.47846843192434,"(45.47846843192434, 9.254530517863609)"
123,3,215,8.20703125,16.0733110149,PARCO DELL'ACQUA,9.254448045825379,45.47844111386388,"(45.47844111386388, 9.254448045825379)"
124,3,215,6.5815429688,12.7186934768,PARCO DELL'ACQUA,9.252009768959141,45.481922387540415,"(45.481922387540415, 9.252009768959141)"
125,3,215,7.810546875,12.6730334076,PARCO DELL'ACQUA,9.252324951007711,45.48226768917753,"(45.48226768917753, 9.252324951007711)"
126,3,215,6.50390625,12.5985270267,PARCO DELL'ACQUA,9.251894773959906,45.482166444526875,"(45.482166444526875, 9.251894773959906)"
127,3,215,6.294921875,12.2950330715,PARCO DELL'ACQUA,9.251228902393647,45.48193363095985,"(45.48193363095985, 9.251228902393647)"
128,2,61,6.5014648438,12.0472479849,PARCO DI VILLA FINZI,9.219419984254225,45.50540334299002,"(45.50540334299002, 9.219419984254225)"
129,2,61,10.806640625,13.7574959843,PARCO DI VILLA FINZI,9.21897705205013,45.50546847304066,"(45.50546847304066, 9.21897705205013)"
130,2,61,9.90234375,12.6065984505,PARCO DI VILLA FINZI,9.22016333326871,45.50550628218178,"(45.50550628218178, 9.22016333326871)"
131,2,61,50810.91796875,2822.9150663865,PARCO DI VILLA FINZI,9.21978042165905,45.5050098223369,"(45.5050098223369, 9.21978042165905)"
132,4,157,106.193359375,52.9428095148,PARCO EMILIO ALESSANDRINI,9.227792244400183,45.4489401805242,"(45.4489401805242, 9.227792244400183)"
133,3,215,67.2231445313,79.2270813627,PARCO DELL'ACQUA,9.25473066880155,45.47815623911073,"(45.47815623911073, 9.25473066880155)"
134,3,215,8.1845703125,16.0999006904,PARCO DELL'ACQUA,9.253742860471958,45.478170622163596,"(45.478170622163596, 9.253742860471958)"
135,3,215,25.7124023438,21.3204059554,PARCO DELL'ACQUA,9.25391249611418,45.478109393277634,"(45.478109393277634, 9.25391249611418)"
136,3,215,8.2524414063,16.1866622703,PARCO DELL'ACQUA,9.253866591701703,45.47819904417186,"(45.47819904417186, 9.253866591701703)"
137,3,215,11.185546875,15.8504160521,PARCO DELL'ACQUA,9.253974724724499,45.478691389296,"(45.478691389296, 9.253974724724499)"
138,3,215,8.74609375,17.0608012254,PARCO DELL'ACQUA,9.254112575076837,45.47837076759851,"(45.47837076759851, 9.254112575076837)"
139,3,215,8.6181640625,16.9279263243,PARCO DELL'ACQUA,9.254187175219593,45.47850574661104,"(45.47850574661104, 9.254187175219593)"
140,3,215,16.0590820313,17.7125204567,PARCO DELL'ACQUA,9.254168892924843,45.47873202433419,"(45.47873202433419, 9.254168892924843)"
141,3,215,8.8325195313,17.2843699362,PARCO DELL'ACQUA,9.25443269272547,45.478679727321015,"(45.478679727321015, 9.25443269272547)"
142,3,215,8.1879882813,16.0984026475,PARCO DELL'ACQUA,9.254399258057617,45.47854744957954,"(45.47854744957954, 9.254399258057617)"
143,3,215,8.8911132813,17.3738077198,PARCO DELL'ACQUA,9.254481478451249,45.478574304945994,"(45.478574304945994, 9.254481478451249)"
144,3,215,6.58203125,12.7186934767,PARCO DELL'ACQUA,9.252117107147738,45.48194726393376,"(45.48194726393376, 9.252117107147738)"
