stazione_id;data;inquinante;valore
"2";2014-01-20;C6H6;3
"2";2014-01-20;NO2;70
"2";2014-01-20;O3;5
"2";2014-01-20;PM10;26
"2";2014-01-20;PM25;23
"2";2014-01-20;SO2;6
"3";2014-01-20;CO_8h;1.6
"3";2014-01-20;NO2;143
"4";2014-01-20;C6H6;1.5
"4";2014-01-20;CO_8h;2.2
"4";2014-01-20;NO2;75
"5";2014-01-20;NO2;84
"5";2014-01-20;O3;9
"6";2014-01-20;C6H6;3.8
"6";2014-01-20;CO_8h;1.6
"6";2014-01-20;NO2;85
"6";2014-01-20;PM10;27
"6";2014-01-20;PM25;23
"7";2014-01-20;NO2;84
"7";2014-01-20;O3;18
"7";2014-01-20;PM10;19
"8";2014-01-20;C6H6;1.5
"8";2014-01-20;CO_8h;1.5
"8";2014-01-20;NO2;114
"1";2014-01-21;NO2;75
"2";2014-01-21;C6H6;1.5
"2";2014-01-21;NO2;62
"2";2014-01-21;O3;5
"2";2014-01-21;PM10;32
"2";2014-01-21;PM25;27
"2";2014-01-21;SO2;6
"3";2014-01-21;CO_8h;1.6
"3";2014-01-21;NO2;99
"4";2014-01-21;C6H6;
"4";2014-01-21;CO_8h;2
"4";2014-01-21;NO2;65
"5";2014-01-21;NO2;75
"5";2014-01-21;O3;
"6";2014-01-21;C6H6;3
"6";2014-01-21;CO_8h;1.5
"6";2014-01-21;NO2;76
"6";2014-01-21;PM10;36
"6";2014-01-21;PM25;31
"7";2014-01-21;NO2;76
"7";2014-01-21;O3;6
"7";2014-01-21;PM10;24
"8";2014-01-21;C6H6;1.5
"8";2014-01-21;CO_8h;1.4
"8";2014-01-21;NO2;83
"1";2014-01-22;NO2;102
"2";2014-01-22;C6H6;3
"2";2014-01-22;NO2;97
"2";2014-01-22;O3;6
"2";2014-01-22;PM10;57
"2";2014-01-22;PM25;40
"2";2014-01-22;SO2;6
"3";2014-01-22;CO_8h;3.4
"3";2014-01-22;NO2;268
"4";2014-01-22;C6H6;4
"4";2014-01-22;CO_8h;2.9
"4";2014-01-22;NO2;92
"5";2014-01-22;NO2;128
"5";2014-01-22;O3;
"6";2014-01-22;C6H6;4
"6";2014-01-22;CO_8h;2.4
"6";2014-01-22;NO2;107
"6";2014-01-22;PM10;53
"6";2014-01-22;PM25;41
"7";2014-01-22;NO2;128
"7";2014-01-22;O3;8
"7";2014-01-22;PM10;42
"8";2014-01-22;C6H6;
"8";2014-01-22;CO_8h;
"8";2014-01-22;NO2;
"1";2014-01-23;NO2;155
"2";2014-01-23;C6H6;5
"2";2014-01-23;NO2;87
"2";2014-01-23;O3;6
"2";2014-01-23;PM10;75
"2";2014-01-23;PM25;57
"2";2014-01-23;SO2;8
"3";2014-01-23;CO_8h;3.8
"3";2014-01-23;NO2;202
"4";2014-01-23;C6H6;6
"4";2014-01-23;CO_8h;3.4
"4";2014-01-23;NO2;106
"5";2014-01-23;NO2;132
"5";2014-01-23;O3;6
"6";2014-01-23;C6H6;7
"6";2014-01-23;CO_8h;2.8
"6";2014-01-23;NO2;110
"6";2014-01-23;PM10;73
"6";2014-01-23;PM25;57
"7";2014-01-23;NO2;124
"7";2014-01-23;O3;8
"7";2014-01-23;PM10;64
"8";2014-01-23;C6H6;
"8";2014-01-23;CO_8h;
"8";2014-01-23;NO2;
"1";2014-01-24;NO2;105
"2";2014-01-24;C6H6;3.5
"2";2014-01-24;NO2;107
"2";2014-01-24;O3;32
"2";2014-01-24;PM10;61
"2";2014-01-24;PM25;47
"2";2014-01-24;SO2;8
"3";2014-01-24;CO_8h;2
"3";2014-01-24;NO2;169
"4";2014-01-24;C6H6;4.7
"4";2014-01-24;CO_8h;2.7
"4";2014-01-24;NO2;90
"5";2014-01-24;NO2;109
"5";2014-01-24;O3;33
"6";2014-01-24;C6H6;3.9
"6";2014-01-24;CO_8h;1.7
"6";2014-01-24;NO2;104
"6";2014-01-24;PM10;51
"6";2014-01-24;PM25;38
"7";2014-01-24;NO2;105
"7";2014-01-24;O3;26
"7";2014-01-24;PM10;41
"8";2014-01-24;C6H6;
"8";2014-01-24;CO_8h;
"8";2014-01-24;NO2;
"2";2014-01-25;SO2;6
"2";2014-01-26;SO2;5
"1";2014-01-27;NO2;100
